id	name	student_number	course	gender	MBTI	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9
1	Lea Fraanchyonok	2018162001	1	2	1	5	3	3	3	5	4	5	4	4	4	4	4	4	4	5	2	4	5	4	3	2	3	4	4	2	2	1	
2	Bekki Akerman	2018162002	3	1	6	3	1	4	2	4	2	2	3	3	3	1	4	3	1	4	1	1	3	4	2	2	5	2	5	5	3	4	
3	Abbie Brotherhed	2018162003	2	1	7	3	3	2	2	2	5	4	3	5	3	3	4	3	5	5	4	4	4	3	3	2	3	3	1	1	3	4	
4	Silvester Gilffillan	2018162004	2	1	11	3	4	4	5	3	3	4	4	3	5	3	3	4	4	4	5	3	5	3	2	4	4	4	3	4	2	4	
5	Hayes Bradock	2018162005	1	1	17	4	4	3	3	4	5	5	4	5	2	3	3	2	3	3	5	4	2	3	4	2	1	4	2	2	1	3	
6	Allard MacGorman	2018162006	1	1	10	4	5	4	4	3	3	3	5	4	4	4	2	3	4	4	4	5	4	4	3	3	4	1	3	1	2	2	
7	Hartwell Timperley	2018162007	3	1	1	1	4	2	4	3	3	1	2	3	1	3	1	2	3	4	2	2	3	3	3	4	3	4	4	3	5	4	
8	Germayne Jannasch	2018162008	3	1	2	4	3	4	2	4	3	4	4	1	1	4	2	4	3	1	3	2	3	5	5	2	5	4	2	4	4	5	
9	Gerrie Jorgensen	2018162009	2	2	8	3	3	2	4	3	4	2	4	4	5	3	4	4	5	4	4	4	5	3	2	1	3	1	3	3	3	3	
10	Tabbatha Machan	2018162010	1	1	1	4	5	5	5	5	5	3	5	4	4	2	4	3	4	2	3	4	2	1	4	4	3	3	2	2	4	4	
11	Joana Dionsetto	2018162011	2	1	6	2	3	4	3	3	4	3	3	5	3	4	4	4	4	5	3	3	4	2	2	3	1	3	3	4	3	2	
12	Eldridge Stebbings	2018162012	1	1	15	4	4	3	4	5	3	3	4	3	4	3	4	2	3	2	2	5	4	3	3	2	4	3	2	2	1	3	
13	Raviv Lovewell	2018162013	3	2	7	3	2	3	2	4	4	4	2	3	1	3	4	2	1	2	2	1	2	3	4	3	4	5	5	3	4	3	
14	Maud MacElane	2018162014	1	2	12	5	4	4	5	5	3	5	4	4	3	4	3	3	4	4	3	3	4	4	4	3	2	2	3	3	2	2	
15	Jenda Tregear	2018162015	3	2	9	2	3	3	3	3	3	3	1	4	1	3	1	3	4	3	3	3	3	4	3	3	5	5	5	2	5	3	
16	Truman Brickhill	2018162016	3	1	16	3	3	1	3	3	3	1	3	2	2	3	3	1	1	4	1	1	4	4	3	5	3	3	5	4	4	4	
17	Mohandas Stack	2018162017	1	2	1	4	4	3	4	5	4	3	3	4	4	4	3	4	4	3	4	3	4	2	3	2	1	3	2	4	3	4	
18	Laurens Ducker	2018162018	3	2	2	4	3	2	4	1	3	3	3	1	1	3	2	2	2	1	1	3	2	4	3	4	4	4	5	4	4	4	
19	Chandler Broomhead	2018162019	3	2	5	2	2	4	3	3	2	2	4	4	3	2	3	1	4	4	3	3	3	5	5	5	4	3	3	5	3	4	
20	Bab Bestiman	2018162020	1	2	6	4	3	3	3	4	5	3	4	4	3	3	4	4	2	4	3	4	4	2	3	3	3	2	2	3	3	4	
21	Lizabeth Almack	2018162021	1	1	15	4	3	5	4	4	5	3	4	5	4	4	3	5	4	4	3	5	4	2	4	2	1	3	3	2	3	2	
22	Othella Breckenridge	2018162022	3	2	12	3	2	4	3	2	2	3	3	3	2	3	2	2	3	3	1	2	3	3	3	2	3	2	3	4	3	4	
23	Marcia Yaus	2018162023	2	1	7	5	4	2	3	4	3	5	4	5	3	4	4	4	5	4	4	5	4	3	3	1	3	1	3	2	3	4	
24	Clare Sowman	2018162024	3	2	3	2	1	3	1	4	1	3	1	1	4	3	4	3	2	2	3	3	3	3	5	3	3	2	5	5	5	5	
25	Eula Tickner	2018162025	1	1	12	3	4	5	3	5	4	5	5	4	3	5	2	4	5	3	4	3	5	2	4	2	3	2	3	1	3	3	
26	Sibylla Gridley	2018162026	3	1	7	3	4	4	3	3	3	4	3	4	3	3	3	2	3	1	3	3	3	5	5	4	4	4	4	3	3	5	
27	Carmina Cruddas	2018162027	1	1	13	4	4	3	4	5	4	3	4	4	4	3	5	4	4	3	3	4	5	4	3	4	2	3	3	4	4	4	
28	Sophia Goodger	2018162028	2	2	7	3	5	2	4	3	2	3	3	4	5	4	4	5	5	3	5	5	5	2	3	2	3	3	3	2	1	4	
29	Kimbra McCloud	2018162029	2	2	12	4	4	3	2	3	4	5	4	5	5	5	4	5	5	5	3	3	3	3	2	3	1	1	4	2	3	3	
30	Matti Bedow	2018162030	1	2	17	5	3	5	3	4	4	5	4	3	4	3	3	4	5	4	2	5	5	4	1	3	3	4	2	3	3	1	
31	Helenelizabeth Corey	2018162031	1	2	7	4	3	4	4	4	5	4	3	4	4	3	4	3	3	5	4	3	2	4	2	3	3	3	3	2	3	3	
32	Justus Ebdin	2018162032	3	2	5	3	4	1	1	4	4	4	2	1	3	3	2	3	3	3	3	4	4	5	4	5	5	5	4	5	3	4	
33	Mitch Liepina	2018162033	3	1	2	3	3	3	2	3	3	2	2	2	1	1	4	1	3	2	4	2	3	4	5	5	5	4	4	3	4	4	
34	Travers Scarlin	2018162034	3	1	12	1	2	3	1	2	1	4	1	1	3	3	3	2	3	2	1	4	4	3	4	4	2	3	5	2	4	3	
35	Kinsley Hugett	2018162035	1	1	16	3	3	5	4	4	5	3	4	3	4	4	3	2	4	4	3	4	5	2	2	2	3	3	3	3	2	1	
36	Winifield Puig	2018162036	2	2	15	4	3	3	4	3	3	5	4	4	5	4	4	4	4	4	3	4	4	3	4	3	1	3	1	3	3	2	
37	Agretha Mularkey	2018162037	3	1	1	2	3	4	3	2	4	2	3	3	1	3	1	3	4	2	3	3	2	4	3	5	5	3	5	4	5	4	
38	Amandi Extance	2018162038	2	2	12	3	3	3	4	3	3	2	4	4	5	3	4	5	3	5	3	4	4	1	3	2	2	1	2	2	2	3	
39	Ahmad Carrel	2018162039	1	1	15	3	4	4	4	4	4	4	4	4	5	3	3	4	5	5	5	3	4	1	3	1	2	2	2	4	2	3	
40	Dexter Stockau	2018162040	3	1	10	3	3	3	3	1	3	4	3	4	1	4	3	3	1	3	3	2	2	2	2	4	3	5	3	2	5	4	
